CU 0101985,3253,168975,598.49,0,0,169573.49
CU 0102746,3306,28680,598.49,0,3363,25915.49
CU 0102752,3311,52443,185.29,4641.21,5222.3,52047.2
CU 0100730,3313,18250,185.29,1615.13,808.42,19242
CU 0102756,3315,23633,598.49,0,1750,22481.49
CU 0102759,3316,22500,185.29,0,2250,20435.29
CU 0102399,3318,17500,185.29,1548.75,2035.1,17198.94
CU 0102761,3319,25700,598.49,0,2570,23728.49
CU 0102763,3320,17500,185.29,0,1750,15935.29
CU 0102768,3327,26444,598.49,0,3795.65,23246.84
CU 0102769,3328,20450,185.29,1809.83,2045,20400.12
CU 0102770,3329,17500,185.29,1548.75,1750,17484.04
CU 0100943,3331,18630,598.49,0,1263.7,17964.79
CU 0102772,3332,60156,598.49,0,1875,58879.49
CU 0102773,3333,48200,185.29,4265.7,4820,47830.99
CU 0100314,3336,21100,185.29,0,4519.38,16765.91
CU 0102777,3337,22950,598.49,0,2295,21253.49
CU 0100426,"3338, 3339, 3340",134197,598.49,0,11234.12,123561.37
CU 0102778,3341,32146,598.49,0,3214.6,29529.89
CU 0102781,3343,17500,598.49,0,1750,16348.49
CU 0102782,3344,29264,598.49,0,3061.4,26801.09
CU 0102785,3345,17500,185.29,1548.75,1750,17484.04
CU 0102786,3346,37952,598.49,0,3795.2,34755.29
CU 0102787,3347,30250,598.49,0,3875,26973.49
CU 0102792,3349,31600,598.49,0,3000,29198.49
CU 0102642,3155,25704,598.49,0,2485,23817.49
CU 0102643,3156,29809,598.49,0,30410.5,-3.01
CU 0100757,"3157, 3158, 3159",83568,598.49,0,15068.47,69098.02
CU 0102645,3160,35887,185.29,0,2605.4,33466.89
CU 0102646,3161,35242,598.49,0,3604.8,32235.69
CU 0102652,3166,52911,598.49,0,24160,29349.49
CU 0102653,"3167, 3168",35000,598.49,0,3500,32098.49
CU 0102655,3170,73894,598.49,0,9434.4,65058.09
CU 0102656,"3171, 3172, 3173",78141,598.49,0,8326.7,70412.79
CU 0102657,3174,45785,598.49,0,4748.5,41634.99
CU 0102659,3175,17500,598.49,0,1750,16348.49
CU 0102660,3176,20950,185.29,0,2095,19040.29
CU 0102661,3177,28649,185.29,2535.44,2864.9,28504.83
CU 0102665,3178,25889,185.29,0,25995.8,78.49
CU 0102666,3179,48175,185.29,0,4817.5,43542.79
CU 0102668,3180,21900,598.49,0,2190,20308.49
CU 0102671,3183,38108,185.29,0,4460.8,33832.49
CU 0102674,3185,23760,185.29,2102.76,2376,23672.05
CU 0100267,"3187, 3252",42245,598.49,0,213.4,42630.09
CU 0100938,3197,48700,598.49,0,1750,47548.49
CU 0102681,3202,38525,598.49,0,3852.5,35270.99
CU 0102682,3203,32354,185.29,0,1750,30789.29
CU 0102694,3215,20550,185.29,0,2055,18680.29
CU 0102695,3216,17500,185.29,0,1750,15935.29
CU 0102697,"3237, 3238, 3239",52500,598.49,0,5250,47848.49
CU 0102676,3192,17500,185.29,1548.75,1750,17484.04
CU 0102679,3198,26259,185.29,0,2648.01,23796.28
CU 0102685,3207,20000,185.29,1770,2000,19955.29
CU 0102688,3210,33249,598.49,0,3135,30712.49
CU 0102690,3211,33337,598.49,0,3333.7,30601.79
CU 0100856,3212,27475,598.49,0,892.66,27180.83
CU 0102692,3213,48478,185.29,0,4847.8,43815.49
CU 0102698,3240,40997,598.49,0,1750,39845.49
CU 0102699,3241,34001,185.29,0,1750,32436.29
CU 0102700,"3242, 3243",49922,598.49,0,3333,47187.49
CU 0102701,3244,30070,598.49,0,2930,27738.49
